# СВЕРКА КБЖУ — Фабрика Вкусно
"# Источник ""этикетка"": данные с этикеток вторых блюд (точные, на порцию) — 83 блюда, проверять не нужно."
"# Источник ""расчёт (bzhu)"": прочие блюда (салаты, супы, выпечка, бутерброды и т.п.) — ккал пересчитана по Б/Ж/У."
# Значения даны и на 100 г, и на порцию. Отсортировано по ккал/100г (сверху самые калорийные).
"# Пометка ""ПРОВЕРИТЬ"": ккал/100г >= 350 у блюд НЕ с этикетки — кандидаты на сверку с рецептурой."

Название;Источник;Вес порции г;Ккал/100г;Б/100г;Ж/100г;У/100г;Ккал порция;Б порция;Ж порция;У порция;Пометка
Пицца «Ассорти»;расчёт (bzhu);180;299;8.0;15.0;33.0;538;14.4;27;59.4;
Бутерброд № 4 с котлетой;расчёт (bzhu);160;298;8.0;18.0;26.0;477;12.8;28.8;41.6;
Пирожок жареный с картофелем;расчёт (bzhu);100;296;6.0;12.0;41.0;296;6;12;41;
Бутерброд № 2 с колбасой и сыром;расчёт (bzhu);160;296;9.0;16.0;29.0;474;14.4;25.6;46.4;
Бутерброд № 15 с куриной котлетой;расчёт (bzhu);160;294;8.0;18.0;25.0;470;12.8;28.8;40;
Чебуреки с капустой (9 шт.);расчёт (bzhu);200;290;5.0;18.0;27.0;580;10;36;54;
Пирожок жареный с мясом рисом;расчёт (bzhu);100;288;9.0;8.0;45.0;288;9;8;45;
Пирожок жареный с луком яйцом;расчёт (bzhu);100;288;9.0;8.0;45.0;288;9;8;45;
Пирожок печёный с луком и яйцом;расчёт (bzhu);100;285;9.0;9.0;42.0;285;9;9;42;
Бутерброд № 1 с ветчиной и сыром;расчёт (bzhu);160;283;9.0;15.0;28.0;453;14.4;24;44.8;
Бутерброд № 3 хот-дог;расчёт (bzhu);210;277;7.0;13.0;33.0;582;14.7;27.3;69.3;
Блинчики  с творогом;расчёт (bzhu);140;273;13.0;9.0;35.0;382;18.2;12.6;49;
Роллы блинные с курицей;расчёт (bzhu);180;272;9.0;16.0;23.0;490;16.2;28.8;41.4;
Панини с ветчиной и помидором;расчёт (bzhu);110;271;8.0;15.0;26.0;298;8.8;16.5;28.6;
Пирожок печёный с чёрной смородиной;расчёт (bzhu);75;265;6.0;5.1;49.1;199;4.5;3.8;36.8;
Пирожок печёный с рыбой;расчёт (bzhu);100;261;12.0;9.0;33.0;261;12;9;33;
Палочки куриные;расчёт (bzhu);200;258;15.0;10.0;27.0;516;30;20;54;
Салат «С фунчозой и курицей»;расчёт (bzhu);140;255;8.0;15.0;22.0;357;11.2;21;30.8;
Бутерброд № 6 с говядиной;расчёт (bzhu);160;251;9.0;11.0;29.0;402;14.4;17.6;46.4;
Бутерброд № 14 с куриной отбивной;расчёт (bzhu);160;251;11.0;11.0;27.0;402;17.6;17.6;43.2;
Курник;расчёт (bzhu);100;248;10.0;8.0;34.0;248;10;8;34;
Бутерброд № 5 с грудинкой;расчёт (bzhu);160;247;8.0;11.0;29.0;395;12.8;17.6;46.4;
Бутерброд № 7 с курицей;расчёт (bzhu);160;243;9.0;11.0;27.0;389;14.4;17.6;43.2;
Пирожок печёный с клубникой;расчёт (bzhu);75;240;5.1;4.0;46.0;180;3.8;3;34.5;
Открытый пирог с ветчиной и сыром;расчёт (bzhu);100;238;10.0;10.0;27.0;238;10;10;27;
Пирожок печёный с картофелем;расчёт (bzhu);100;234;6.0;6.0;39.0;234;6;6;39;
Киш с курицей и грибами;расчёт (bzhu);100;233;12.0;13.0;17.0;233;12;13;17;
Вафля-пицца с колбасками и сыром с соусом;расчёт (bzhu);120;233;12.0;13.0;17.0;280;14.4;15.6;20.4;
Панини с курицей и колбасой;расчёт (bzhu);120;231;8.0;11.0;25.0;277;9.6;13.2;30;
Пирожок печёный с капустой;расчёт (bzhu);100;228;6.0;8.0;33.0;228;6;8;33;
Пирожок печёный с вишней;расчёт (bzhu);75;228;5.1;4.0;42.9;171;3.8;3;32.2;
Плов;этикетка;200;226;7.0;10.0;27.0;452;14;20;54;
Салат «С ветчиной»;расчёт (bzhu);140;224;10.0;20.0;1.0;314;14;28;1.4;
Блинчики с мясом;расчёт (bzhu);140;219;8.0;11.0;22.0;307;11.2;15.4;30.8;
Пирожок жареный с капустой;расчёт (bzhu);100;218;6.0;6.0;35.0;218;6;6;35;
Бифштекс с макаронами отварными;этикетка;225;218;6.2;14.3;16.1;491;14;32.1;36.2;
Бифштекс с кашей гречневой;этикетка;225;218;7.3;13.2;17.7;491;16.4;29.6;39.8;
Котлета куриная с макаронами отварными;этикетка;240;213;6.8;13.2;16.7;512;16.2;31.7;40.1;
Котлета куриная с кашей гречневой;этикетка;240;213;7.8;12.1;18.2;512;18.6;29.1;43.7;
Салат «Цезарь»;расчёт (bzhu);150;212;11.0;16.0;6.0;318;16.5;24;9;
Салат «Бархатный»;расчёт (bzhu);140;212;2.0;16.0;15.0;297;2.8;22.4;21;
Котлета куриная «Гнездо» с макаронами отварными;этикетка;250;212;5.7;13.0;17.9;529;14.3;32.4;44.8;
Блинчики с грушей и творожным сыром;расчёт (bzhu);180;211;7.0;11.0;21.0;380;12.6;19.8;37.8;
Открытый пирог с куриным жульеном и грибами;расчёт (bzhu);100;210;9.0;10.0;21.0;210;9;10;21;
Котлета из индейки на гриле с макаронами отварными;этикетка;240;208;5.6;12.5;18.1;500;13.4;30.1;43.5;
Салат закусочный из курицы и овощей с сухариками;расчёт (bzhu);140;207;3.0;15.0;15.0;290;4.2;21;21;
Салат закусочный из говядины и овощей;расчёт (bzhu);140;207;3.0;15.0;15.0;290;4.2;21;21;
Манты;этикетка;200;207;8.7;9.4;21.7;414;17.4;18.8;43.4;
Зраза рубленая с яйцом с макаронами отварными;этикетка;270;207;6.2;13.2;15.6;559;16.8;35.7;42.1;
Зраза рубленая с яйцом с кашей гречневой;этикетка;270;207;7.1;12.3;16.9;559;19.2;33.2;45.7;
Котлета куриная с рисом отварным и овощами;этикетка;240;205;6.0;12.9;16.1;491;14.3;30.9;38.6;
Пельмени отварные;этикетка;200;203;10.0;7.0;25.0;406;20;14;50;
Отбивная куриная в кляре с макаронами отварными;этикетка;230;203;7.0;12.0;16.5;466;16;27.7;37.9;
Отбивная куриная в кляре с кашей гречневой;этикетка;230;203;8.0;10.9;18.0;466;18.4;25.1;41.5;
Котлета домашняя с макаронами отварными;этикетка;250;201;6.2;11.4;18.4;502;15.4;28.4;45.9;
Котлета домашняя с кашей гречневой;этикетка;250;201;7.1;10.3;19.8;502;17.8;25.8;49.5;
Зраза рубленая с яйцом с рисом отварным и овощами;этикетка;270;199;5.5;13.0;15.0;538;14.9;35;40.6;
Поджарка из минтая с макаронами отварными;этикетка;250;197;5.9;12.4;15.2;493;14.8;31.1;38.1;
Салат «С печенью»;расчёт (bzhu);140;196;10.0;16.0;3.0;274;14;22.4;4.2;
Шаурма с курицей и пекинской капустой;расчёт (bzhu);250;195;8.0;11.0;16.0;488;20;27.5;40;
Шаурма с курицей;расчёт (bzhu);250;195;8.0;11.0;16.0;488;20;27.5;40;
Отбивная куриная в кляре с рисом отварным и овощами;этикетка;230;193;6.1;11.7;15.8;445;14.1;26.9;36.4;
Котлета домашняя с рисом отварным и овощами;этикетка;250;192;5.4;11.0;17.8;481;13.5;27.6;44.4;
